AGS;Name;Wahlberechtigte;Wähler;Ungültige;Gültige;CDU;SPD;AfD;FDP;DIE LINKE;GRÜNE;CSU;FREIE WÄHLER;Die PARTEI;Tierschutzpartei;NPD;PIRATEN;ÖDP;V-Partei³;DiB;BP;Tierschutzallianz;MLPD;Gesundheitsforschung;MENSCHLICHE WELT;DKP;Die Grauen;BüSo;Die Humanisten;Gartenpartei;du.;SGP;dieBasis;Bündnis C;BÜRGERBEWEGUNG;III. Weg;Bündnis21;LIEBE;LKR;PdF;LfK;SSW;Team Todenhöfer;UNABHÄNGIGE;Volt
9476;Kronach;54179;43413;295;43118;0;10725;4876;3303;876;2707;15616;2863;356;587;62;95;140;18;0;65;0;15;54;0;1;0;0;27;0;16;0;466;56;0;27;0;0;8;0;0;0;71;46;42
9477;Kulmbach;58419;46655;212;46443;0;10724;4789;3728;1086;4358;15672;3630;403;557;50;118;179;35;0;86;0;2;71;0;5;0;0;20;0;27;0;611;49;0;31;0;0;8;0;0;0;72;85;47
9478;Lichtenfels;53297;42008;262;41746;0;8272;4811;3407;872;3472;15316;3202;428;494;75;136;215;29;0;120;0;11;66;0;3;0;0;32;0;28;0;475;40;0;38;0;0;13;0;0;0;78;50;63
9479;Wunsiedel i.Fichtelgebirge;56740;43421;322;43099;0;11108;5200;3424;1035;3077;13846;3029;412;656;72;102;111;31;0;135;0;4;49;0;5;0;0;38;0;18;0;430;44;0;31;0;0;7;0;0;0;123;77;35
9561;Ansbach, Stadt;30172;22131;157;21974;0;4819;2484;1848;803;3062;6298;1034;187;331;29;112;225;24;0;53;0;1;20;0;6;0;0;24;0;21;0;412;21;0;12;0;0;2;0;0;0;57;43;46
9562;Erlangen, Stadt;76775;62506;250;62256;0;12488;3367;6544;3232;16300;14808;1639;530;464;23;314;630;99;0;56;0;16;61;0;7;0;0;127;0;26;0;799;44;0;15;0;0;9;0;0;0;261;76;321
9563;Fürth, Stadt;86808;64662;338;64324;0;14884;5572;6335;3349;12144;15502;1901;695;827;57;276;281;97;0;126;0;26;79;0;48;0;0;139;0;39;0;1103;77;0;30;0;0;8;0;0;0;393;111;225
9564;Nürnberg, Stadt;335780;251644;1436;250208;0;54383;19745;23911;12816;48277;66199;7091;2318;3190;217;1396;1440;306;0;267;0;88;328;0;130;0;0;324;0;188;0;3991;215;0;106;0;0;57;0;0;0;1873;403;949
9565;Schwabach, Stadt;29819;23128;137;22991;0;5044;2043;2276;704;3465;6813;963;162;318;14;129;100;23;0;43;0;3;26;0;6;0;0;32;0;11;0;598;30;0;10;0;0;3;0;0;0;80;35;60
9571;Ansbach;140648;113283;545;112738;0;21340;11402;9660;2796;12928;37824;8991;761;1314;256;620;820;114;0;315;0;18;168;0;23;0;0;82;0;50;0;2418;185;0;56;0;0;14;0;0;0;215;236;132
9572;Erlangen-Höchstadt;104796;88293;391;87902;0;16926;6992;9088;2443;14445;28305;5020;632;872;67;346;425;73;0;135;0;15;85;0;5;0;0;91;0;43;0;1188;68;0;45;0;0;10;0;0;0;230;152;201
9573;Fürth;91963;75537;341;75196;0;16121;6673;7432;2067;10908;23781;3590;553;950;46;318;371;69;0;154;0;4;85;0;10;0;0;111;0;34;0;1268;74;0;62;0;0;14;0;0;0;216;141;144
9574;Nürnberger Land;130673;108400;507;107893;0;23065;8691;9613;2992;16322;33460;6907;703;1395;88;687;523;102;0;178;0;12;155;0;13;0;0;73;0;51;0;1889;115;0;53;0;0;41;0;0;0;359;175;231
9575;Neustadt a.d.Aisch-Bad Windsheim;77687;62318;345;61973;0;12056;5960;5428;1672;7203;21244;4600;461;720;89;248;372;52;0;174;0;13;81;0;6;0;0;43;0;28;0;1095;65;0;38;0;0;5;0;0;0;107;111;102
9576;Roth;98606;81275;438;80837;0;15721;7352;7361;1958;9875;27520;5694;619;1006;63;369;343;74;0;198;0;7;109;0;8;0;0;58;0;39;0;1807;76;0;50;0;0;22;0;0;0;182;181;145
9577;Weißenburg-Gunzenhausen;72354;57094;320;56774;0;11483;5256;4705;1305;6335;19177;4713;364;573;74;316;473;59;0;155;0;5;73;0;13;0;0;39;0;30;0;1222;73;0;30;0;0;6;0;0;0;136;88;71
9661;Aschaffenburg, Stadt;49848;37268;252;37016;0;7919;3441;4380;1382;6448;9857;915;355;445;33;158;302;43;0;75;0;21;46;0;6;0;0;49;0;26;0;616;28;0;17;0;0;54;0;0;0;196;83;121
9662;Schweinfurt, Stadt;36821;25285;240;25045;0;5736;3085;2526;1281;2911;7020;734;210;287;12;90;97;36;0;62;0;26;25;0;5;0;0;18;0;21;0;464;16;0;28;0;0;4;0;0;0;228;54;69
9663;Würzburg, Stadt;97587;77242;372;76870;0;14583;4569;8509;4168;19664;18845;1908;710;807;23;298;480;99;0;63;0;15;91;0;22;0;0;185;0;57;0;930;53;0;20;0;0;17;0;0;0;208;118;428
9671;Aschaffenburg;132804;109504;800;108704;0;22313;10275;11819;2686;14194;35882;4803;783;1472;77;393;503;108;0;338;0;40;164;0;29;0;0;90;0;94;0;1496;46;0;63;0;0;97;0;0;0;412;278;249
9672;Bad Kissingen;83006;66766;411;66355;0;11847;6763;6014;1877;6154;25442;4299;506;784;75;205;273;64;0;158;0;7;83;0;6;0;0;24;0;37;0;1269;58;0;63;0;0;11;0;0;0;69;172;95
